word;transcript;translate
within;;в пределах
absence;;отсутствие
temporary;;временный
subset;;подмножество
assign;;приписать
order;;заказ
familiar;;знакомый
owe;;быть должным
exhibit;;показывать
conduct;;поведение
refer;;ссылаться
measure;;измерять
solely;;исключительно
wheter;;будь то
engage;;заниматься
yardsticks;;критерии, мерки
miniscule;;мизерный
assumption;;предположение
indistinguishable;;неразличимый
external;;внешний
cohesiveness;кохисивнесс;сплоченность, единство
assemble;;собирать
conquest;;завоевание, покорение
stark;;сильно, крепко
wedded;;преданный, супружеский
certainty;;определенность, уверенность
emphasis;;акцент, ударение, особое внимание
imperative;;повелительный
fertile;;плодородный, плодовитый
plain;;гладкий, обыкновенный
originate;;происходить
engenders;;порождать, возникать
foster;;способствовать, поощрать, воспитывать
virtues;;достоинства, сила
peitas;;набожность
devotion;;преданность, набожность, увлечение
Iustita;истеша;юстиция
predisposed;;предрасположенный
subtlety;сатлти;тонкость, хитрость
solid;;твердый, солидный
novelty;;новинка, новизна
disdain;;презирать, пренебрежение
consciously;кошсли;сознательно, осознанно
advance;;продвижение, наступление
tension;;напряженность, давление
settlement;;поселок, колония
eponymous;;одноименный
depict;;изображать, описывать
thourough;;тщательный, полный
daunting;;пугающий
consist;;состоять в.., заключаться в
jeopardize;;подвергать опасности
intimidate;;пугать
arthropod;;членистоногие
phylum;;тип насекомого
insect;;насекомое
shrimp;;креветка
centipedes;;многоножки
diversity;;разнообразие
tissue;;ткань, слой, паутина
hazard;;опасность
seal;;печать, запечатывать
moisture;;влага
evaporate;;испаряться
precious;;драгоценный
permit;;разрешение
thin;;тонкий
mesh;;сеть, петля
upward;;вверх, выше
durable;;прочный
arrangement;;устройство
armor;;броня
wax;;воск
outermost;;самый дальный
distinctive;;отличительный
luster;;блеск, глянецй
formidable;;грозный, огромный
surface;;наружная поверхность
vertebrate;вёчебрет;позвоночный
mammal;;млекопитающее
instance;;пример
evolve;;эволюционировать
fluoresce;флюрес;светить
distinct;;отчетливый, особый
molt;;линька
beneath;;под, ниже
occurs;окёс;происходить
harden;;затвердевать
expel;;вытеснять
cram;;зубрежка
adjust;;регулировать, устанавливать
widgets;;виджеты
lure;;соблазн
thereby;;таким образобм
slightly;;немного, слегка
allocation;;распределение, размещение
butter;;сливочное масло
suffer ;;страдать
utility;;полезность
further;фёде;в дальнейшем
nonetheless;;тем не менее
willingness;;готовность
intersect;;пересекаться
descendant;дисенденд;потомок
pile;;свая, столб, кол, наконечник стрелы
amid;;находящийся среди
eagerly;;с нетерпением
marvel;;чудо, диво
prohibitive;;запретительный, запрещающий
pundit;;ученый муж
shore;;берег, сходить на берег
incremental;;возрастающий
approach;;приближение
portend;;предвещать, пророчить
hamper;;плетеная корзина
boon;;благо, преимущество
scant;;недостаточный, органиченный
evidence;;основание, данные, факты, доказательство
deteriorate;дытириорейт;ухудшить
deliverance;дыливеренс;освобождение, официальное заявление
tangible;тэнджибл;осязаемый факт, реальность
culprit;калприт;виновный, преступник
certainty;;несоменный факт, уверенность
tilt;;наклон, качели
depreciate;;обесценивать, уменьшать
appreciate;;ценить
intact;;неповрежденный, невредимый, физически полноценный
simmer;;медленное кипячение
suspectible;;восприимчивый, впечатлительный
ailment;;недомогание, нездоровье, болезнь
exhaust;;выпуск, выхлоп, истощать
unscrupulous;анскрапьюлес;недобросовестный, беспринципный
backdrop;;декорации, фон
sufficient;сэфишент;достаточное количество
limbo;;чистилище, заточение
reliance;рилайнс;доверие, уверенность
scrutiny;скратини;внимательное изучение, тщательное исследование
negligeable;;ничтожный, незначительный
albeit;элбит;хотя, даже, тем не менее
benign;бинайн;милостивый, милосердный, кроткий
forfeit;фофит;штраф, неустойка
flotsam;;плавающий груз, обломки
jetsam;;тонущий груз, бродяга, человек, которого судьба бросает с места на место
ancillary;;дополнение, помощник
egotism;;самомнение, самовлюбленность
amuse;;забавлять, развлекать, изумляться
cereal;;хлебный злак, зерновые хлеба
rival;;соперник, конкурент, противник
indoctrinate;;знакомиться с теорией
latter;;более поздний, последний
wander;;странствие, бродить
lavatory;;уборная, туалет
gloom;;мрак, темнота
contemplative;;созерцательный, задумчивый
struggle;;борьба, напряжение
succeed;;достигнуть цели, преуспевать
canny;;благоразумный, практичный
upheaval;;сдвиг, переворот
avaricious;эверишес;алчный, жадный
payments in kind;;платежи в натуральной форме
collusion;;сговор
thinly;;тонко
imperceptible;;незаметный
